d,alpha,kappa,tau,rho,lam,numavg,gtask_mean,gtask_std
64,10,0.2,10,0.01,1e-06,20,0.9259115877441197,0.016034274248508614
64,10,0.4,10,0.01,1e-06,20,0.6822539180490491,0.008721808968748131
64,10,0.6,10,0.01,1e-06,20,0.4730286750287263,0.006596687281525516
64,10,0.8,10,0.01,1e-06,20,0.29738225623400105,0.006305326952879272
64,10,1.0,10,0.01,1e-06,20,0.17567445351387204,0.006561100977782756
64,10,1.2,10,0.01,1e-06,20,0.1102026445599741,0.004671423291616414
64,10,1.6,10,0.01,1e-06,20,0.05270313187424207,0.0023801362187859374
64,10,2.0,10,0.01,1e-06,20,0.03169463028674124,0.0017032225649943997
