d,alpha,kappa,rho,numavg,gtask_mean,gtask_std
32,10,0.2,0.01,1000,1.3180015707759247,1.9402573456095102
32,10,0.4,0.01,1000,1.245541749286421,1.8741847548498385
32,10,0.6,0.01,1000,1.2823916894983323,1.7049199219231959
32,10,0.8,0.01,1000,1.2459321963802001,1.8630401385571547
32,10,1.0,0.01,1000,1.3478714709472688,1.9345447345140998
32,10,1.2,0.01,1000,1.1838264226335686,1.789721945370978
32,10,1.6,0.01,1000,1.2531668718857112,1.832600578550344
32,10,2.0,0.01,1000,1.1818966286909836,1.8268636223887962
32,10,4.0,0.01,1000,1.0826099685579529,1.7250180631693062
32,10,8.0,0.01,1000,0.9977043321371268,1.4569820209360889
32,10,16.0,0.01,1000,0.9578415583860598,1.4430656641290465
32,10,32.0,0.01,1000,0.8839683006600427,1.2654444712839485
