d,alpha,kappa,tau,rho,lam,numavg,gtask_mean,gtask_std
32,10,0.2,10,0.01,1e-06,20,1.0098604919977128,0.04339372705797835
32,10,0.4,10,0.01,1e-06,20,0.7498111349912914,0.030786998294665944
32,10,0.6,10,0.01,1e-06,20,0.5063599190673801,0.016736791496758777
32,10,0.8,10,0.01,1e-06,20,0.3259759196200215,0.010154421837367365
32,10,1.0,10,0.01,1e-06,20,0.19065241382744297,0.01761684854480424
32,10,1.2,10,0.01,1e-06,20,0.12507743355955162,0.012559372410736038
32,10,1.6,10,0.01,1e-06,20,0.05272509894711598,0.006219608521263855
32,10,2.0,10,0.01,1e-06,20,0.03316175802431495,0.004627784273647557
32,10,4.0,10,0.01,1e-06,20,0.009804560151221609,0.0012755171080688248
32,10,8.0,10,0.01,1e-06,20,0.004012970649410086,0.0010644953119048654
32,10,16.0,10,0.01,1e-06,20,0.0017952941183747573,0.0008604514315615904
32,10,32.0,10,0.01,1e-06,20,0.0007767850108012786,0.0007434159930751698
