d,alpha,kappa,rho,numavg,gtask_mean,gtask_std
64,10,0.2,0.01,1000,1.5327615943966186,2.152829883192751
64,10,0.4,0.01,1000,1.478608475889378,2.1059328862997964
64,10,0.6,0.01,1000,1.5273204296875451,2.3035989578103306
64,10,0.8,0.01,1000,1.4899434797644973,2.203708108785226
64,10,1.0,0.01,1000,1.3249132423611114,1.9586404557016364
64,10,1.2,0.01,1000,1.3188346362172951,1.9367705208355421
64,10,1.6,0.01,1000,1.3629282704370764,1.9332851223678722
64,10,2.0,0.01,1000,1.2434617585002001,1.754609267369043
64,10,4.0,0.01,1000,1.2950587523335542,1.7813727094796317
64,10,8.0,0.01,1000,1.19840926391065,1.6719033849008496
64,10,16.0,0.01,1000,1.1129788803915055,1.630597439396687
64,10,32.0,0.01,1000,1.0921857860043065,1.4735777532549454
