d,alpha,kappa,tau,rho,lam,numavg,icl_mean,icl_std,idg_mean,idg_std
10,1.0,1.0,5.0,0.01,0.0001,10,0.9646522007216536,0.08298034298752568,0.5682048055244344,0.029133382892902213
10,1.0,1.0,5.0,0.01,1e-05,10,0.9524563152169071,0.06014139157822091,0.5585103284294648,0.034547400326717215
